StudentName,Lecture,FileName,ErrorMessage,シンボル,シンボルの種類,ワードA,ワードAの種類,ワードB,ワードBの種類,ワードC,ワードCの種類,発生時刻,修正時刻,修正時間,isWorking,複合数,同時修正数,CT(sec),GeneRef,,
NA,NA,NA,NA,CCGraphFrame.java,パッケージAは存在しません,,,rg.jfree.chart.renderer.category,パッケージ,,,,,2013/9/25 20:35,2013/9/29 21:32,0:00:00,FALSE,23,0,0,FALSE
NA,NA,NA,NA,CCGraphFrame.java,パッケージAは存在しません,,,rg.jfree.data.category,パッケージ,,,,,2013/9/25 20:35,2013/9/29 21:32,0:00:00,FALSE,23,0,0,FALSE
NA,NA,NA,NA,CCGraphFrame.java,シンボルを見つけられません,StandardChartTheme,変数,,,,,,,2013/9/25 20:35,2013/9/29 20:25,0:01:46,FALSE,23,28,106,FALSE
NA,NA,NA,NA,CCGraphFrame.java,シンボルを見つけられません,ChartFactory,変数,,,,,,,2013/9/25 20:35,2013/9/29 21:32,0:00:00,FALSE,23,0,0,FALSE
NA,NA,NA,NA,CCGraphFrame.java,シンボルを見つけられません,DefaultCategoryDataset,クラス,,,,,,,2013/9/25 20:35,2013/9/29 21:32,0:00:00,FALSE,23,0,0,FALSE
NA,NA,NA,NA,CCGraphFrame.java,シンボルを見つけられません,DefaultCategoryDataset,クラス,,,,,,,2013/9/25 20:35,2013/9/29 21:32,0:00:00,FALSE,23,0,0,FALSE
NA,NA,NA,NA,CCGraphFrame.java,シンボルを見つけられません,JFreeChart,クラス,,,,,,,2013/9/25 20:35,2013/9/29 21:32,0:00:00,FALSE,23,0,0,FALSE
NA,NA,NA,NA,CCGraphFrame.java,シンボルを見つけられません,PlotOrientation,変数,,,,,,,2013/9/25 20:35,2013/9/29 21:32,0:00:00,FALSE,23,0,0,FALSE
NA,NA,NA,NA,CCGraphFrame.java,シンボルを見つけられません,ChartFactory,変数,,,,,,,2013/9/25 20:35,2013/9/29 21:32,0:00:00,FALSE,23,0,0,FALSE
NA,NA,NA,NA,CCGraphFrame.java,シンボルを見つけられません,ChartColor,変数,,,,,,,2013/9/25 20:35,2013/9/29 21:32,0:00:00,FALSE,23,0,0,FALSE
NA,NA,NA,NA,CCGraphFrame.java,シンボルを見つけられません,CategoryPlot,クラス,,,,,,,2013/9/25 20:35,2013/9/29 21:32,0:00:00,FALSE,23,0,0,FALSE
NA,NA,NA,NA,CCGraphFrame.java,シンボルを見つけられません,LineAndShapeRenderer,クラス,,,,,,,2013/9/25 20:35,2013/9/29 21:32,0:00:00,FALSE,23,0,0,FALSE
NA,NA,NA,NA,CCGraphFrame.java,シンボルを見つけられません,LineAndShapeRenderer,クラス,,,,,,,2013/9/25 20:35,2013/9/29 21:32,0:00:00,FALSE,23,0,0,FALSE
NA,NA,NA,NA,CCGraphFrame.java,シンボルを見つけられません,ChartColor,変数,,,,,,,2013/9/25 20:35,2013/9/29 21:32,0:00:00,FALSE,23,0,0,FALSE
NA,NA,NA,NA,CCGraphFrame.java,シンボルを見つけられません,ChartPanel,クラス,,,,,,,2013/9/25 20:35,2013/9/29 21:32,0:00:00,FALSE,23,0,0,FALSE
NA,NA,NA,NA,CCGraphFrame.java,シンボルを見つけられません,ChartPanel,クラス,,,,,,,2013/9/25 20:35,2013/9/29 21:32,0:00:00,FALSE,23,0,0,FALSE
NA,NA,NA,NA,CCErrorElementButton.java,パッケージAは存在しません,,,rg.jfree.chart,パッケージ,,,,,2013/9/29 18:09,2013/9/29 20:25,0:00:01,FALSE,51,28,1,FALSE
NA,NA,NA,NA,CCErrorElementButton.java,パッケージAは存在しません,,,rg.jfree.chart,パッケージ,,,,,2013/9/29 18:09,2013/9/29 20:25,0:00:01,FALSE,51,28,1,FALSE
NA,NA,NA,NA,CCErrorElementButton.java,シンボルを見つけられません,,,,,,,,,2013/9/29 18:09,2013/9/29 21:32,0:00:00,FALSE,51,0,0,FALSE
NA,NA,NA,NA,CCErrorElementButton.java,シンボルを見つけられません,ChartMouseEvent,クラス,,,,,,,2013/9/29 18:09,2013/9/29 20:25,0:00:01,FALSE,51,28,1,FALSE
NA,NA,NA,NA,CCErrorElementButton.java,シンボルを見つけられません,ChartMouseEvent,クラス,,,,,,,2013/9/29 18:09,2013/9/29 20:25,0:00:01,FALSE,51,28,1,FALSE
NA,NA,NA,NA,CCGraphFrame.java,パッケージAは存在しません,,,rg.jfree.chart,パッケージ,,,,,2013/9/29 18:09,2013/9/29 20:25,0:00:01,FALSE,51,28,1,FALSE
NA,NA,NA,NA,CCGraphFrame.java,パッケージAは存在しません,,,rg.jfree.chart,パッケージ,,,,,2013/9/29 18:09,2013/9/29 20:25,0:00:01,FALSE,51,28,1,FALSE
NA,NA,NA,NA,CCGraphFrame.java,パッケージAは存在しません,,,rg.jfree.chart,パッケージ,,,,,2013/9/29 18:09,2013/9/29 20:25,0:00:01,FALSE,51,28,1,FALSE
NA,NA,NA,NA,CCGraphFrame.java,パッケージAは存在しません,,,rg.jfree.chart,パッケージ,,,,,2013/9/29 18:09,2013/9/29 20:25,0:00:01,FALSE,51,28,1,FALSE
NA,NA,NA,NA,CCGraphFrame.java,パッケージAは存在しません,,,rg.jfree.chart,パッケージ,,,,,2013/9/29 18:09,2013/9/29 20:25,0:00:01,FALSE,51,28,1,FALSE
NA,NA,NA,NA,CCGraphFrame.java,パッケージAは存在しません,,,rg.jfree.chart.plot,パッケージ,,,,,2013/9/29 18:09,2013/9/29 20:25,0:00:01,FALSE,51,28,1,FALSE
NA,NA,NA,NA,CCGraphFrame.java,パッケージAは存在しません,,,rg.jfree.chart.plot,パッケージ,,,,,2013/9/29 18:09,2013/9/29 20:25,0:00:01,FALSE,51,28,1,FALSE
NA,NA,NA,NA,CCGraphFrame.java,パッケージAは存在しません,,,rg.jfree.chart.renderer.category,パッケージ,,,,,2013/9/29 18:09,2013/9/29 20:25,0:00:01,FALSE,51,28,1,FALSE
NA,NA,NA,NA,CCGraphFrame.java,パッケージAは存在しません,,,rg.jfree.data.category,パッケージ,,,,,2013/9/29 18:09,2013/9/29 20:25,0:00:01,FALSE,51,28,1,FALSE
NA,NA,NA,NA,CCGraphFrame.java,シンボルを見つけられません,StandardChartTheme,変数,,,,,,,2013/9/29 18:09,2013/9/29 20:25,0:00:01,FALSE,51,28,1,FALSE
NA,NA,NA,NA,CCGraphFrame.java,シンボルを見つけられません,ChartFactory,変数,,,,,,,2013/9/29 18:09,2013/9/29 20:25,0:00:01,FALSE,51,28,1,FALSE
NA,NA,NA,NA,CCGraphFrame.java,シンボルを見つけられません,DefaultCategoryDataset,クラス,,,,,,,2013/9/29 18:09,2013/9/29 20:25,0:00:01,FALSE,51,28,1,FALSE
NA,NA,NA,NA,CCGraphFrame.java,シンボルを見つけられません,DefaultCategoryDataset,クラス,,,,,,,2013/9/29 18:09,2013/9/29 20:25,0:00:01,FALSE,51,28,1,FALSE
NA,NA,NA,NA,CCGraphFrame.java,シンボルを見つけられません,JFreeChart,クラス,,,,,,,2013/9/29 18:09,2013/9/29 20:25,0:00:01,FALSE,51,28,1,FALSE
NA,NA,NA,NA,CCGraphFrame.java,シンボルを見つけられません,PlotOrientation,変数,,,,,,,2013/9/29 18:09,2013/9/29 20:25,0:00:01,FALSE,51,28,1,FALSE
NA,NA,NA,NA,CCGraphFrame.java,シンボルを見つけられません,ChartFactory,変数,,,,,,,2013/9/29 18:09,2013/9/29 20:25,0:00:01,FALSE,51,28,1,FALSE
NA,NA,NA,NA,CCGraphFrame.java,シンボルを見つけられません,ChartColor,変数,,,,,,,2013/9/29 18:09,2013/9/29 20:25,0:00:01,FALSE,51,28,1,FALSE
NA,NA,NA,NA,CCGraphFrame.java,シンボルを見つけられません,CategoryPlot,クラス,,,,,,,2013/9/29 18:09,2013/9/29 20:25,0:00:01,FALSE,51,28,1,FALSE
NA,NA,NA,NA,CCGraphFrame.java,シンボルを見つけられません,LineAndShapeRenderer,クラス,,,,,,,2013/9/29 18:09,2013/9/29 20:25,0:00:01,FALSE,51,28,1,FALSE
NA,NA,NA,NA,CCGraphFrame.java,シンボルを見つけられません,LineAndShapeRenderer,クラス,,,,,,,2013/9/29 18:09,2013/9/29 20:25,0:00:01,FALSE,51,28,1,FALSE
NA,NA,NA,NA,CCGraphFrame.java,シンボルを見つけられません,ChartColor,変数,,,,,,,2013/9/29 18:09,2013/9/29 20:25,0:00:01,FALSE,51,28,1,FALSE
NA,NA,NA,NA,CCGraphFrame.java,シンボルを見つけられません,ChartPanel,クラス,,,,,,,2013/9/29 18:09,2013/9/29 20:25,0:00:01,FALSE,51,28,1,FALSE
NA,NA,NA,NA,CCGraphFrame.java,シンボルを見つけられません,ChartPanel,クラス,,,,,,,2013/9/29 18:09,2013/9/29 20:25,0:00:01,FALSE,51,28,1,FALSE
NA,NA,NA,NA,CCGraphFrame.java,パッケージAは存在しません,,,rg.jfree.chart.axis,パッケージ,,,,,2013/9/29 20:25,2013/9/29 21:32,0:00:00,FALSE,27,0,0,FALSE
NA,NA,NA,NA,CCGraphFrame.java,シンボルを見つけられません,NumberAxis,クラス,,,,,,,2013/9/29 20:25,2013/9/29 21:32,0:00:00,FALSE,27,0,0,FALSE
NA,NA,NA,NA,CCGraphFrame.java,シンボルを見つけられません,NumberAxis,クラス,,,,,,,2013/9/29 20:25,2013/9/29 21:32,0:00:00,FALSE,27,0,0,FALSE
NA,NA,NA,NA,CCGraphFrame.java,シンボルを見つけられません,NumberAxis,変数,,,,,,,2013/9/29 20:25,2013/9/29 21:32,0:00:00,FALSE,27,0,0,FALSE
NA,NA,NA,NA,CCMainFrame2.java,クラスAのコンストラクタBは指定された型に適用できません。,,,coco.view.CCErrorElementButton,クラス,CCErrorElementButton,コンストラクタ,,,2013/9/29 20:25,2013/9/29 20:47,0:00:00,FALSE,28,1,0,FALSE
NA,NA,NA,NA,CCErrorElementButton2.java,パッケージAは存在しません,,,rg.jfree.chart,パッケージ,,,,,2013/9/29 20:47,2013/9/29 21:32,0:00:00,FALSE,55,0,0,FALSE
NA,NA,NA,NA,CCErrorElementButton2.java,パッケージAは存在しません,,,rg.jfree.chart,パッケージ,,,,,2013/9/29 20:47,2013/9/29 21:32,0:00:00,FALSE,55,0,0,FALSE
NA,NA,NA,NA,CCErrorElementButton2.java,シンボルを見つけられません,ChartMouseEvent,クラス,,,,,,,2013/9/29 20:47,2013/9/29 21:32,0:00:00,FALSE,55,0,0,FALSE
NA,NA,NA,NA,CCErrorElementButton2.java,シンボルを見つけられません,ChartMouseEvent,クラス,,,,,,,2013/9/29 20:47,2013/9/29 21:32,0:00:00,FALSE,55,0,0,FALSE
NA,NA,NA,NA,CCErrorElementButton2.java,シンボルを見つけられません,StandardChartTheme,変数,,,,,,,2013/9/29 20:47,2013/9/29 21:32,0:00:00,FALSE,55,0,0,FALSE
NA,NA,NA,NA,CCGraphFrame.java,パッケージAは存在しません,,,rg.jfree.chart,パッケージ,,,,,2013/9/29 20:47,2013/9/29 21:32,0:00:00,FALSE,55,0,0,FALSE
NA,NA,NA,NA,CCGraphFrame.java,パッケージAは存在しません,,,rg.jfree.chart,パッケージ,,,,,2013/9/29 20:47,2013/9/29 21:32,0:00:00,FALSE,55,0,0,FALSE
NA,NA,NA,NA,CCGraphFrame.java,パッケージAは存在しません,,,rg.jfree.chart,パッケージ,,,,,2013/9/29 20:47,2013/9/29 21:32,0:00:00,FALSE,55,0,0,FALSE
NA,NA,NA,NA,CCGraphFrame.java,パッケージAは存在しません,,,rg.jfree.chart,パッケージ,,,,,2013/9/29 20:47,2013/9/29 21:32,0:00:00,FALSE,55,0,0,FALSE
NA,NA,NA,NA,CCGraphFrame.java,パッケージAは存在しません,,,rg.jfree.chart,パッケージ,,,,,2013/9/29 20:47,2013/9/29 21:32,0:00:00,FALSE,55,0,0,FALSE
NA,NA,NA,NA,CCGraphFrame.java,パッケージAは存在しません,,,rg.jfree.chart.plot,パッケージ,,,,,2013/9/29 20:47,2013/9/29 21:32,0:00:00,FALSE,55,0,0,FALSE
NA,NA,NA,NA,CCGraphFrame.java,パッケージAは存在しません,,,rg.jfree.chart.plot,パッケージ,,,,,2013/9/29 20:47,2013/9/29 21:32,0:00:00,FALSE,55,0,0,FALSE
NA,NA,NA,NA,CCGraphFrame.java,パッケージAは存在しません,,,rg.jfree.chart.renderer.category,パッケージ,,,,,2013/9/29 20:47,2013/9/29 21:32,0:00:00,FALSE,55,0,0,FALSE
NA,NA,NA,NA,CCGraphFrame.java,パッケージAは存在しません,,,rg.jfree.data.category,パッケージ,,,,,2013/9/29 20:47,2013/9/29 21:32,0:00:00,FALSE,55,0,0,FALSE
NA,NA,NA,NA,CCGraphFrame.java,シンボルを見つけられません,StandardChartTheme,変数,,,,,,,2013/9/29 20:47,2013/9/29 21:32,0:00:00,FALSE,55,0,0,FALSE
NA,NA,NA,NA,CCGraphFrame.java,シンボルを見つけられません,ChartFactory,変数,,,,,,,2013/9/29 20:47,2013/9/29 21:32,0:00:00,FALSE,55,0,0,FALSE
NA,NA,NA,NA,CCGraphFrame.java,シンボルを見つけられません,DefaultCategoryDataset,クラス,,,,,,,2013/9/29 20:47,2013/9/29 21:32,0:00:00,FALSE,55,0,0,FALSE
NA,NA,NA,NA,CCGraphFrame.java,シンボルを見つけられません,DefaultCategoryDataset,クラス,,,,,,,2013/9/29 20:47,2013/9/29 21:32,0:00:00,FALSE,55,0,0,FALSE
NA,NA,NA,NA,CCGraphFrame.java,シンボルを見つけられません,JFreeChart,クラス,,,,,,,2013/9/29 20:47,2013/9/29 21:32,0:00:00,FALSE,55,0,0,FALSE
