1384310019912	Wed Nov 13 11:33:39 JST 2013	COMMAND_RECORD	FILE_CREATED	src/src/coco/view/CCGraphFrame.java
1384310019913	Wed Nov 13 11:33:39 JST 2013	COMMAND_RECORD	SAVE	src/src/coco/view/CCGraphFrame.java
1384310021118	Wed Nov 13 11:33:41 JST 2013	LOG	DEBUG	already stamped.: src/src/coco/view/CCGraphFrame.java
1384310019913	Wed Nov 13 11:33:39 JST 2013	COMMAND_RECORD	COMPILE	src/src/coco/view/CCGraphFrame.java
1384310019913	Wed Nov 13 11:33:39 JST 2013	COMMAND_RECORD	FILE_CREATED	src/src/coco/view/CCMainFrame2.java
1384310019914	Wed Nov 13 11:33:39 JST 2013	COMMAND_RECORD	SAVE	src/src/coco/view/CCMainFrame2.java
1384310021144	Wed Nov 13 11:33:41 JST 2013	LOG	DEBUG	already stamped.: src/src/coco/view/CCMainFrame2.java
1384310019914	Wed Nov 13 11:33:39 JST 2013	COMMAND_RECORD	COMPILE	src/src/coco/view/CCMainFrame2.java
1384310081658	Wed Nov 13 11:34:41 JST 2013	COMMAND_RECORD	FILE_CREATED	.pres2/src/src/coco/CCConverterStart.java/1384310019585.java
1384310081659	Wed Nov 13 11:34:41 JST 2013	COMMAND_RECORD	SAVE	.pres2/src/src/coco/CCConverterStart.java/1384310019585.java
1384310081967	Wed Nov 13 11:34:41 JST 2013	LOG	DEBUG	RecordingFile Not Found.: .pres2/src/src/coco/CCConverterStart.java/1384310019585.java
1384310081659	Wed Nov 13 11:34:41 JST 2013	COMMAND_RECORD	COMPILE	.pres2/src/src/coco/CCConverterStart.java/1384310019585.java
1384310081659	Wed Nov 13 11:34:41 JST 2013	COMMAND_RECORD	FILE_CREATED	.pres2/src/src/coco/CCViewerStart.java/1384310019593.java
1384310081660	Wed Nov 13 11:34:41 JST 2013	COMMAND_RECORD	SAVE	.pres2/src/src/coco/CCViewerStart.java/1384310019593.java
1384310082007	Wed Nov 13 11:34:42 JST 2013	LOG	DEBUG	RecordingFile Not Found.: .pres2/src/src/coco/CCViewerStart.java/1384310019593.java
1384310081660	Wed Nov 13 11:34:41 JST 2013	COMMAND_RECORD	COMPILE	.pres2/src/src/coco/CCViewerStart.java/1384310019593.java
